,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,0.0607308627647052,1,0.805344489051945,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
PAMPAHUTA,0.0591502819580397,1,0.807844029810081,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
CHUQUIBAMBILLA,0.424867085529647,1,0.51451840007046,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
LAMPA,4.93477806619127,1,0.0263214424877378,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
CABANILLAS,0.0652043902150048,1,0.798451624168749,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
HUANCANE,0.000171772726078999,1,0.989543057201727,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
HUARAYA MOHO,0.0300289701207639,1,0.862424513189832,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
CAPACHICA,1.51402562394024,1,0.218525838022352,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
TARACO,3.99980087460625,1,0.0455056397171049,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
MAZO CRUZ,0.182925189294035,1,0.668871338085749,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
DESAGUADERO,0.0101522798593642,1,0.919742153452894,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
LARAQUERI,0.0413999934430415,1,0.838767782894581,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
PUTINA,2.6206187810669,1,0.105483299510708,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
ICHUÃ‘A,3.02520912149991,1,0.0819797517193135,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
CAPAZO,0.42067114492036,1,0.516602345863779,Box-Ljung test,as.numeric(data.indices.wind$PRCPTOT[, i])
